LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min,flag
MAC005172,10/9/2013,0.073,0.25,1.782,48,0.382,11.994,0.032,no
MAC003225,2/20/2013,0.136,0.171,0.544,48,0.093,8.221,0.067,no
MAC003822,1/17/2014,0.15,0.197,0.81,48,0.16,9.447,0.068,no
MAC002474,7/20/2012,1.669,1.273,3.806,39,0.916,13.073,1.615,yes
MAC004287,5/24/2013,0.176,0.22,0.794,48,0.159,10.572,0.067,no
MAC002481,9/1/2013,2.007,1.741,2.42,13,0.91,91.27,1.123,yes
MAC002859,2/27/2014,0.08,0.191,0.796,48,0.226,9.144,0.055,no
MAC004417,11/20/2013,0.111,0.153,0.632,48,0.12,7.33,0.018,no
MAC002606,5/6/2013,2.877,1.9,1.463,13,0.02,17.847,0.111,yes
MAC001835,1/9/2013,0.305,0.355,1.189,48,0.279,17.059,0.049,no
MAC002606,12/5/2012,0.142,0.172,0.502,48,0.104,8.258,0.042,no
MAC004408,9/15/2012,0.139,0.141,0.331,48,0.073,6.784,0.04,no
MAC002481,1/17/2014,1.536,1.186,0.842,5,1.011,4.28,0.344,yes
MAC003387,11/22/2013,0.044,0.062,0.248,48,0.055,2.995,0.01,no
MAC003403,9/24/2013,0.115,0.147,0.782,48,0.132,7.052,0.048,no
MAC002327,2/24/2014,2.083,0.117,3.627,11,1.44,50.596,1.456,yes
MAC002214,8/25/2013,1.773,0.503,3.042,32,0.625,38.075,2.231,yes
MAC004287,5/31/2013,0.189,0.213,0.856,48,0.179,10.214,0.043,no
MAC000897,11/7/2013,1.941,1.628,2.77,4,0.533,8.112,1.12,yes
MAC004408,6/6/2013,0.142,0.156,0.619,48,0.113,7.511,0.036,no
MAC000897,11/25/2013,2.177,1.96,0.848,36,0.092,117.691,1.531,yes
MAC002214,8/17/2013,0.099,0.105,0.276,48,0.054,5.037,0.04,no
MAC004408,11/20/2012,0.234,0.212,0.755,48,0.154,10.184,0.042,no
MAC002575,3/29/2013,0.857,0.799,3.092,36,0.381,12.289,0.72,yes
MAC001448,3/14/2013,2.426,0.962,1.146,1,0.588,118.078,0.5,yes
MAC002214,5/23/2013,0.126,0.957,2.408,7,1.125,94.945,0.023,yes
MAC002595,12/26/2012,0.222,0.314,1.561,48,0.334,15.052,0.035,no
MAC002474,3/23/2013,2.28,0.065,2.18,45,1.221,114.932,0.319,yes
MAC002582,11/14/2013,0.09,0.209,0.939,48,0.232,10.022,0.026,no
MAC003173,4/18/2013,0.201,0.416,1.771,48,0.441,19.99,0.044,no
MAC004543,2/6/2014,0.444,0.502,1.431,48,0.335,24.075,0.154,no
MAC003427,7/6/2013,0.341,0.401,1.746,48,0.29,19.271,0.217,no
MAC002599,1/16/2013,0.695,1.629,3.188,30,0.682,89.435,0.56,yes
MAC002595,12/4/2012,0.142,0.162,0.468,48,0.113,7.794,0.034,no
MAC001410,9/21/2013,0.189,0.227,0.636,48,0.158,10.897,0.055,no
MAC002474,4/13/2013,0.04,0.107,1.754,48,0.274,5.151,0.007,no
MAC004955,6/1/2013,0.132,0.148,0.417,48,0.064,7.113,0.087,no
MAC002599,9/9/2012,0.174,0.176,0.282,48,0.043,8.471,0.118,no
MAC002859,6/12/2013,1.857,1.203,0.482,28,1.245,60.147,2.021,yes
MAC000897,5/18/2013,1.45,1.909,4.496,44,1.388,105.612,1.439,yes
MAC002606,11/26/2013,2.359,0.567,3.347,42,0.285,83.347,2.177,yes
MAC003900,1/2/2013,0.31,0.444,1.848,48,0.38,21.331,0.075,no
MAC002528,2/10/2013,1.894,2.006,1.722,15,0.067,114.26,2.24,yes
MAC002575,10/13/2012,1.604,0.242,0.146,21,0.64,5.342,1.67,yes
MAC001448,12/16/2013,0.125,0.13,0.234,48,0.042,6.254,0.05,no
MAC001966,10/27/2012,1.819,1.351,4.645,8,0.33,106.092,1.005,yes
MAC000897,11/6/2013,0.816,1.749,1.731,4,0.045,29.101,0.724,yes
MAC002595,11/3/2013,0.354,2.436,1.043,37,0.602,3.691,1.329,yes
MAC000606,12/15/2012,0.195,0.22,0.63,48,0.118,10.542,0.059,no
MAC002582,2/25/2014,0.124,0.197,1.154,48,0.196,9.468,0.028,no
MAC002481,9/19/2013,1.562,0.886,4.833,38,1.326,78.326,1.258,yes
MAC002481,5/21/2013,1.464,2.328,3.937,41,0.586,94.212,2.201,yes
MAC004567,7/23/2013,0.085,0.097,0.212,48,0.047,4.666,0.04,no
MAC001835,5/14/2013,2.07,1.799,0.746,25,1.392,31.517,1.081,yes
MAC002575,3/18/2013,1.66,1.393,2.178,33,0.503,28.013,0.63,yes
MAC002528,10/29/2012,1.696,2.006,2.755,19,0.04,15.579,1.243,yes
MAC004957,3/19/2013,0.05,0.053,0.128,48,0.039,2.542,0,no
MAC002575,11/24/2013,2.905,0.891,2.545,5,0.815,56.149,0.623,yes
MAC002214,8/3/2013,1.994,0.172,2.349,28,0.388,19.611,1.824,yes
MAC002595,10/4/2012,2.089,1.127,1.038,22,0.915,55.533,2.084,yes
MAC001835,4/17/2013,1.897,0.696,1.215,38,0.872,108.05,0.552,yes
MAC002575,3/2/2013,1.057,1.094,1.909,43,1.176,64.851,1.857,yes
MAC002528,1/22/2013,1.075,2.268,0.179,21,1.362,75.427,1.952,yes
MAC003559,2/17/2014,0.189,0.268,2.4,48,0.357,12.858,0.069,no
MAC002599,11/25/2012,0.2,0.269,1.027,48,0.185,12.914,0.08,no
MAC002575,3/9/2013,2.429,1.775,3.988,12,0.647,10.481,1.911,yes
MAC003211,4/23/2013,0.264,0.363,0.878,48,0.219,17.435,0.059,no
MAC003900,1/31/2013,0.213,0.231,0.735,48,0.135,11.085,0.07,no
MAC001448,12/30/2013,0.134,0.189,0.512,48,0.135,9.07,0.062,no
MAC002606,1/10/2013,0.228,0.239,1.14,48,0.174,11.494,0.043,no
MAC004955,4/21/2013,0.107,0.165,0.88,48,0.158,7.902,0.084,no
MAC002582,9/13/2013,0.704,0.561,2.964,28,0.68,74.799,2.025,yes
MAC002595,10/24/2012,2.067,2.423,1.977,47,1.356,33.515,0.889,yes
MAC001966,7/27/2012,2.581,1.516,4.814,47,1.426,73.722,0.997,yes
MAC002859,5/30/2012,2.826,1.369,2.446,45,0.595,95.078,0.538,yes
MAC002595,2/16/2013,1.568,1.278,4.029,20,1.289,83.487,0.753,yes
MAC002528,10/17/2012,1.923,1.289,0.52,30,0.091,114.542,0.781,yes
MAC002481,8/17/2013,2.562,0.6,4.328,29,0.219,55.9,0.719,yes
MAC002599,8/4/2013,1.943,1.226,1.377,40,0.485,17.318,1.452,yes
MAC002606,10/8/2012,0.112,0.153,0.434,48,0.101,7.339,0.041,no
MAC003173,11/3/2012,0.219,0.226,0.489,48,0.087,10.842,0.102,no
MAC002575,10/24/2012,1.31,0.94,0.497,26,1.176,13.341,0.903,yes
MAC001966,9/13/2012,0.182,0.421,2.302,48,0.43,20.228,0.1,no
MAC002474,9/9/2012,0.88,0.562,2.152,24,0.971,87.272,0.251,yes
MAC002606,2/27/2014,2.926,0.759,0.051,28,1.273,70.455,1.716,yes
MAC002327,11/19/2012,0.211,0.307,1.068,48,0.212,14.739,0.105,no
MAC001835,10/1/2012,1.234,1.202,4.622,20,0.337,39.002,1.398,yes
MAC001966,11/4/2013,1.769,0.47,3.099,31,1.022,12.004,1.722,yes
MAC001835,8/7/2012,1.091,0.426,3.226,15,0.604,47.083,1.972,yes
MAC004543,3/4/2013,0.547,0.509,1.082,48,0.264,24.434,0.134,no
MAC002599,2/12/2013,1.985,2.413,0.823,27,1.39,37.559,1.515,yes
MAC001448,11/5/2012,1.993,0.07,4.582,42,1.01,114.265,0.978,yes
MAC000897,4/8/2013,1.72,1.389,2.594,7,0.982,88.645,0.073,yes
MAC002528,11/3/2012,0.035,0.044,0.103,48,0.021,2.094,0.022,no
MAC003822,9/27/2013,0.08,0.101,0.203,48,0.053,4.856,0.034,no
MAC002528,4/14/2013,0.045,0.07,0.231,48,0.051,3.361,0.022,no
MAC002481,3/25/2013,1.09,1.083,1.655,30,1.239,31.143,1.299,yes
MAC002859,6/21/2013,1.564,0.441,2.372,31,1.025,9.479,0.731,yes
MAC004593,12/30/2013,1.6,1.551,3.411,48,0.675,74.456,0.706,no
MAC003822,5/30/2013,0.078,0.094,0.229,48,0.047,4.5,0.029,no
MAC004832,8/17/2012,0.121,0.183,1.298,48,0.211,8.802,0.02,no
MAC004633,10/20/2012,0.092,0.204,0.9,48,0.241,9.79,0.051,no
MAC002214,11/4/2013,1.741,0.088,0.048,38,1.142,49.176,0.708,yes
MAC002582,9/11/2013,2.823,2.153,2.264,4,1.117,63.13,0.431,yes
MAC005159,3/27/2013,0.341,0.393,1.499,48,0.26,18.878,0.168,no
MAC002599,1/2/2013,1.301,0.531,1.143,20,1.316,47.111,0.986,yes
MAC003822,5/15/2013,0.095,0.103,0.216,48,0.054,4.947,0.03,no
MAC002595,2/11/2013,3.001,2.353,1.564,20,0.964,1.782,0.065,yes
MAC003173,10/24/2012,0.166,0.319,1.848,48,0.374,15.315,0.099,no
MAC002599,7/17/2013,0.106,0.108,0.141,48,0.014,5.168,0.09,no
MAC001835,12/26/2012,1.774,0.925,0.817,0,1.172,103.122,0.71,yes
MAC004832,11/12/2012,0.199,0.213,0.938,48,0.203,10.226,0.023,no
MAC002582,2/10/2013,0.142,0.221,1.268,48,0.248,10.595,0.033,no
MAC002327,9/2/2012,2.628,0.819,1.111,44,0.749,74.81,1.466,yes
MAC002859,10/14/2012,0.837,2.067,2.35,15,0.523,66.898,1.655,yes
MAC000897,9/9/2013,0.063,0.07,0.188,48,0.032,3.347,0.028,no
MAC004832,5/8/2012,0.142,0.219,1.134,48,0.244,10.515,0.025,no
MAC000606,1/13/2013,2.406,2.288,3.388,35,0.228,6.282,0.385,yes
MAC001966,10/26/2012,0.203,0.472,1.697,48,0.5,22.637,0.095,no
MAC003607,3/6/2013,0.625,0.797,1.841,48,0.377,38.249,0.35,no
MAC002582,11/19/2012,0.127,0.197,0.907,48,0.182,9.445,0.039,no
MAC002327,7/22/2012,0.177,0.237,0.727,48,0.14,11.39,0.113,no
MAC004567,2/2/2013,0.168,0.411,3.093,48,0.591,19.713,0.059,no
MAC002481,7/5/2013,0.237,0.94,3.537,6,0.747,16.074,0.844,yes
MAC003876,3/16/2013,0.14,0.241,0.894,48,0.19,11.566,0.069,no
MAC001966,5/24/2013,0.32,0.36,0.727,48,0.172,17.262,0.097,no
MAC003441,4/2/2013,0.4,0.568,1.757,48,0.35,27.255,0.291,no
MAC002481,12/16/2012,2.784,0.156,3.131,28,0.236,78.45,1.296,yes
MAC001835,6/16/2012,0.023,0.53,4.762,3,1.342,21.429,1.164,yes
MAC004957,3/15/2012,0.05,0.058,0.196,48,0.052,2.793,0.006,no
MAC002606,12/9/2013,0.943,0.804,0.082,6,1.125,48.884,1.449,yes
MAC003876,7/24/2013,0.156,0.301,1.356,48,0.273,14.464,0.085,no
MAC004832,4/27/2013,0.103,0.153,1.23,48,0.222,7.342,0.021,no
MAC002582,2/17/2014,1.597,1.624,4.076,4,0.261,22.633,1.397,yes
MAC000897,4/18/2013,0.085,0.08,0.158,48,0.035,3.825,0.036,no
MAC003365,4/24/2013,0.066,0.085,0.453,48,0.086,4.078,0.01,no
MAC002528,3/16/2013,1.522,1.246,2.26,18,1.236,38.62,1.331,yes
MAC002327,10/25/2013,1.251,1.766,2.735,11,0.183,48.743,1.305,yes
MAC002595,11/14/2013,0.142,0.147,0.341,48,0.092,7.052,0.031,no
MAC002481,10/30/2012,2.757,0.272,3.691,5,0.882,41.559,0.491,yes
MAC000606,8/20/2012,1.258,1.409,2.196,18,1.277,49.371,0.04,yes
MAC000897,2/20/2013,1.892,0.55,1.607,41,1.042,52.199,0.019,yes
MAC001966,11/15/2012,2.61,1.131,0.688,47,1.323,25.756,2.292,yes
MAC004832,12/23/2012,0.121,0.171,0.916,48,0.178,8.225,0.023,no
MAC001448,12/31/2013,1.803,0.147,4.385,0,0.873,2.816,0.596,yes
MAC002862,4/11/2013,0.232,0.353,1.887,48,0.426,16.962,0.039,no
MAC002862,5/25/2012,0.187,0.229,0.848,48,0.212,10.973,0.042,no
MAC000897,12/29/2012,1.869,0.769,1.942,45,0.598,83.225,1.3,yes
MAC004287,4/9/2013,0.267,0.245,0.693,48,0.131,11.77,0.072,no
MAC002606,11/1/2012,0.24,1.966,3.064,39,1.259,83.013,0.036,yes
MAC001410,4/10/2013,2.463,0.431,1.695,34,0.408,70.092,0.245,yes
MAC002582,3/14/2013,1.351,1.86,1.173,45,0.023,101.759,2.256,yes
MAC003225,4/13/2013,0.2,0.266,1.159,48,0.235,12.773,0.077,no
MAC001966,8/9/2012,0.034,1.181,1.838,47,0.546,68.659,1.461,yes
MAC002599,10/24/2012,0.089,0.087,0.155,48,0.026,4.16,0.043,no
MAC001448,1/26/2014,2.499,1.049,4.573,14,0.605,50.435,1.209,yes
MAC002528,11/30/2013,0.037,0.049,0.231,48,0.037,2.345,0.02,no
MAC000606,7/1/2012,2.601,0.462,1.836,38,0.053,40.343,0.765,yes
MAC002606,5/28/2013,0.191,0.216,0.764,48,0.155,10.388,0.042,no
MAC000606,4/15/2012,1.804,1.736,2.648,29,0.312,80.869,0.001,yes
MAC002481,4/12/2013,0.196,0.253,0.728,48,0.153,12.122,0.054,no
MAC000606,4/21/2012,0.167,0.19,0.702,48,0.126,9.141,0.051,no
MAC002214,1/22/2013,2.082,2.386,2.59,12,0.857,30.563,1.977,yes
MAC003607,3/30/2013,0.586,0.578,0.81,48,0.098,27.764,0.394,no
MAC004955,7/29/2012,0.118,0.179,0.936,48,0.163,8.598,0.102,no
MAC002474,4/23/2013,2.827,1.299,2.822,40,0.76,1.853,1.713,yes
MAC001410,4/19/2013,2.627,1.551,2.323,33,0.553,4.75,1.418,yes
MAC000897,9/26/2013,0.064,0.117,0.618,48,0.125,5.639,0.028,no
MAC002214,9/29/2012,0.121,0.186,0.741,48,0.176,8.918,0.038,no
MAC001835,12/15/2013,2.768,0.275,4.516,33,0.071,49.908,0.827,yes
MAC002327,5/21/2012,0.95,0.514,3.616,8,0.703,29.945,1.707,yes
MAC003607,11/30/2013,0.237,0.617,3.608,48,0.81,29.625,0.06,no
MAC003876,7/3/2013,0.113,0.206,1.047,48,0.189,9.902,0.082,no
MAC003580,2/25/2013,0.077,0.132,0.46,48,0.103,6.316,0.039,no
MAC000897,11/27/2013,2.502,0.272,3.175,29,0.645,102.716,0.823,yes
MAC003355,8/9/2013,0.048,0.048,0.068,48,0.009,2.297,0.031,no
MAC002582,11/15/2013,0.102,0.138,0.615,48,0.115,6.644,0.027,no
MAC001410,9/6/2013,0.321,0.92,0.775,34,1.017,35.4,2.086,yes
MAC002528,12/11/2013,0.219,0.8,3.534,42,1.258,53.374,1.697,yes
MAC002859,5/15/2012,2.971,1.606,0.368,6,1.202,32.637,1.988,yes
MAC002582,8/30/2012,2.152,0.402,1.814,29,1.063,14.656,1.138,yes
MAC000897,6/28/2013,0.089,0.113,0.491,48,0.097,5.423,0.04,no
MAC002327,2/3/2013,2.635,2.206,1.497,45,0.758,3.433,1.269,yes
MAC000606,7/10/2012,1.423,2.063,0.666,29,0.969,30.761,2.23,yes
MAC004633,2/27/2013,0,0.039,0.283,48,0.072,1.879,0,no
MAC001410,1/11/2013,0.166,0.241,0.869,48,0.181,11.587,0.068,no
MAC002595,2/28/2013,0.576,1.921,1.94,21,0.198,78.839,1.402,yes
MAC002481,8/9/2013,0.229,0.253,0.714,48,0.107,12.158,0.076,no
MAC004957,8/7/2013,0.026,0.036,0.144,48,0.034,1.741,0,no
MAC001448,5/9/2013,0.203,0.193,0.505,48,0.098,9.254,0.06,no
MAC003403,11/12/2012,0.072,0.096,0.25,48,0.051,4.604,0.045,no
MAC004567,5/14/2013,0.145,0.182,1.122,48,0.17,8.746,0.044,no
MAC004593,7/18/2012,0.92,1.046,2.924,48,0.485,50.191,0.593,no
MAC002474,5/7/2012,0.037,0.08,1.057,48,0.166,3.855,0.012,no
MAC002599,12/2/2012,0.872,0.011,1.511,15,0.786,4.908,2.243,yes
MAC002481,5/9/2012,0.778,0.369,4.085,38,1.122,88.516,0.684,yes
MAC002575,8/26/2013,1.234,1.468,3.995,38,1.134,96.99,2.25,yes
MAC004567,8/20/2013,0.125,0.137,0.324,48,0.076,6.595,0.039,no
MAC002859,1/10/2013,0.092,0.265,1.237,48,0.321,12.735,0.051,no
MAC002481,2/10/2014,1.747,0.076,4.367,10,1.239,73.769,0.044,yes
MAC003822,11/18/2013,0.134,0.202,2.039,48,0.31,9.684,0.031,no
MAC001966,1/10/2013,2.48,1.468,2.513,5,0.699,7.92,0.439,yes
MAC002481,1/27/2014,1.237,0.202,3.199,39,0.291,93.479,0.777,yes
MAC003580,5/21/2013,0.107,0.161,1.301,48,0.215,7.75,0.036,no
MAC003355,2/28/2013,0.305,0.436,1.49,48,0.342,20.95,0.132,no
MAC002474,4/19/2013,2.264,1.317,1.191,38,0.484,36.695,0.333,yes
MAC003445,12/26/2013,0.418,0.644,2.249,48,0.512,30.932,0.149,no
MAC000606,11/6/2012,0.015,0.73,4.306,30,0.196,115.754,0.335,yes
MAC002474,12/10/2013,0.967,0.04,1.119,40,0.583,53.109,1.775,yes
MAC002582,11/24/2012,2.852,0.622,1.987,11,1.365,30.932,0.367,yes
MAC002859,9/7/2012,2.821,2.013,3.931,15,0.541,82.97,0.777,yes
MAC001835,9/4/2013,0.256,0.307,1.23,48,0.239,14.727,0.084,no
MAC003365,8/5/2013,0.074,0.082,0.287,48,0.05,3.917,0.023,no
MAC001448,1/9/2013,0.643,1.253,2.102,0,1.079,26.458,0.101,yes
MAC002599,1/3/2013,0.163,2.041,2.635,9,0.632,16.925,1.964,yes
MAC001835,1/19/2013,1.351,2.159,1.323,6,1.14,28.493,1.922,yes
MAC003900,3/29/2013,0.17,0.192,0.408,48,0.095,9.229,0.064,no
MAC003387,8/2/2013,0.077,0.081,0.207,48,0.038,3.869,0.028,no
MAC003403,8/19/2013,0.073,0.087,0.175,48,0.033,4.195,0.05,no
MAC001835,2/26/2013,1.051,1.625,2.868,39,0.367,69.123,2.026,yes
MAC002327,11/27/2013,1.051,0.843,4.518,13,0.711,31.068,1.277,yes
MAC002474,12/7/2012,0.033,0.05,0.269,48,0.055,2.403,0.007,no
MAC002599,1/19/2013,1.482,1.616,1.551,2,0.499,77.995,1.408,yes
MAC002859,1/27/2013,0.458,1.873,4.478,17,0.65,107.639,1.651,yes
MAC004543,12/26/2011,0.505,0.573,1.687,48,0.359,27.517,0.12,no
MAC001448,9/13/2012,0.727,2.091,1.376,41,0.975,69.91,1.87,yes
MAC002214,8/29/2013,0.829,1.61,0.843,16,0.724,76.559,2.131,yes
MAC002599,8/23/2012,1.26,2.391,0.314,13,1.277,89.091,0.219,yes
MAC002595,12/30/2012,0.362,0.977,1.862,30,0.108,14.355,0.276,yes
MAC002327,7/29/2013,2.437,2.189,3.978,6,0.158,57.636,0.035,yes
MAC002606,4/25/2013,2.59,1.494,4.469,36,1.088,108.42,0.364,yes
MAC002481,1/6/2013,0.734,0.693,1.989,33,1.012,98.902,1.339,yes
MAC001410,5/23/2012,0.073,0.075,0.128,48,0.018,3.599,0.049,no
MAC002582,9/3/2012,1.253,1.466,3.577,35,1.162,12.245,1.72,yes
MAC001835,7/13/2013,1.247,0.495,0.07,22,1.205,81.727,1.891,yes
MAC002606,9/20/2012,0.303,0.184,0.631,8,1.262,35.665,0.608,yes
MAC001835,7/4/2012,2.116,1.121,0.534,12,1.362,41.982,0.581,yes
MAC002474,1/27/2014,2.587,2.022,0.507,45,0.292,106.58,0.695,yes
MAC002575,12/23/2012,1.432,1.006,1.038,41,1.246,13.835,1.343,yes
MAC004417,6/1/2013,0.059,0.101,0.525,48,0.101,4.861,0.019,no
MAC003908,10/10/2013,0.078,0.098,0.275,48,0.069,4.7,0.028,no
MAC005159,11/11/2012,0.321,0.392,1.858,48,0.324,18.835,0.166,no
MAC002859,11/9/2012,0.997,2.201,2.941,7,0.508,41.91,1.677,yes
MAC002595,6/8/2013,2.375,2.095,2.277,35,0.566,21.312,1.816,yes
MAC002575,5/20/2013,0.093,0.111,0.313,48,0.055,5.322,0.044,no
MAC001966,4/23/2013,1.178,1.325,1.246,24,1.275,59.963,1.075,yes
MAC003822,2/17/2013,0.071,0.093,0.212,48,0.061,4.447,0.024,no
MAC003903,4/22/2013,0.453,0.63,2.07,48,0.396,30.232,0.297,no
MAC004543,3/26/2013,0.528,0.534,1.584,47,0.344,25.09,0.111,no
MAC002474,9/23/2012,0.051,0.14,1.619,48,0.288,6.723,0.013,no
MAC004567,1/21/2013,0.195,0.198,0.729,48,0.11,9.505,0.093,no
MAC002595,2/19/2013,1.19,0.544,3.003,21,0.783,39.599,1.063,yes
MAC000606,1/17/2013,2.682,0.881,4.163,33,1.17,30.383,1.218,yes
MAC004417,8/5/2012,0.084,0.117,0.633,48,0.113,5.615,0.024,no
MAC004593,3/27/2013,1.69,1.666,3.982,48,0.851,79.965,0.707,no
MAC001835,2/10/2013,2.224,2.36,2.434,25,0.424,26.237,2.206,yes
MAC002599,3/3/2013,1.449,1.681,2.665,12,1.269,29.214,1.098,yes
MAC004567,6/26/2012,0.134,0.166,0.6,48,0.103,7.981,0.065,no
MAC002528,8/5/2013,0.975,0.387,4.38,17,0.796,76.402,0.203,yes
MAC003441,3/22/2013,0.293,0.343,1.254,48,0.235,16.447,0.13,no
MAC001966,12/1/2013,0.503,0.458,1.035,48,0.218,21.982,0.102,no
MAC000897,1/25/2013,0.229,2.055,0.428,47,1.414,19.061,1.4,yes
MAC002528,2/27/2014,0.7,2.247,1.44,44,0.311,31.228,1.658,yes
MAC001835,2/10/2014,0.113,2.37,2.523,33,0.379,92.78,0.519,yes
MAC002595,3/9/2013,0.475,0.124,0.959,4,0.645,100.703,0.316,yes
MAC002582,2/17/2013,0.119,0.189,0.641,48,0.158,9.062,0.038,no
MAC002474,3/9/2013,2.309,1.78,0.058,4,1.312,49.152,0.289,yes
MAC002595,2/3/2014,1.765,0.012,0.274,47,0.636,77.799,1.746,yes
MAC003427,1/4/2013,0.289,0.372,1.671,48,0.299,17.851,0.098,no
MAC004593,4/14/2013,1.524,1.458,3.29,48,0.636,69.967,0.626,no
MAC003358,5/19/2013,0.113,0.134,0.554,48,0.077,6.41,0.075,no
MAC001966,6/25/2013,0.223,1.107,4.813,21,0.421,38.169,1.751,yes
MAC003441,12/25/2013,0,0,0,48,0,0,0,no
MAC002595,2/7/2013,0.286,0.844,1.778,19,0.566,14.787,0.551,yes
MAC002575,6/9/2013,1.848,0.362,4.475,7,1.285,80.762,0.287,yes
MAC002859,1/2/2013,0.106,0.363,2.78,48,0.567,17.404,0.052,no
MAC001448,6/1/2012,2.136,2.332,4.383,16,0.345,14.246,0.76,yes
MAC003173,9/29/2012,0.159,0.185,0.552,48,0.102,8.866,0.045,no
MAC004567,7/28/2012,0.162,0.203,0.86,48,0.149,9.754,0.041,no
MAC001966,9/8/2012,0.317,0.415,1.62,48,0.285,19.937,0.111,no
MAC005172,5/2/2013,0.115,0.123,0.35,48,0.086,5.919,0.034,no
MAC002582,4/20/2013,0.11,0.179,0.884,48,0.2,8.57,0.039,no
MAC001966,5/13/2013,1.016,1.125,0.191,10,1.078,98.71,0.57,yes
MAC001410,3/18/2013,1.196,2.288,1.182,47,0.65,30.088,2.295,yes
MAC003225,8/23/2013,0.154,0.168,0.42,48,0.065,8.046,0.086,no
MAC002327,10/21/2012,0.164,0.09,2.856,21,0.68,20.415,1.081,yes
MAC004633,8/31/2012,0.099,0.18,0.879,48,0.201,8.661,0.052,no
MAC004957,8/29/2012,0.039,0.044,0.12,48,0.03,2.09,0.004,no
MAC002582,3/27/2013,2.716,1.059,3.384,28,0.351,106.08,0.306,yes
MAC003559,12/23/2013,0.207,0.358,1.931,48,0.427,17.163,0.069,no
MAC001966,10/13/2012,0.341,1.806,1.254,42,0.69,80.04,1.071,yes
MAC003387,10/12/2012,0.052,0.072,0.328,48,0.062,3.447,0.019,no
MAC002582,6/27/2013,1.67,0.203,2.135,28,0.861,62.82,0.849,yes
MAC002582,7/20/2013,0.908,2.245,2.279,7,0.859,110.494,1.23,yes
MAC002606,8/12/2013,1.609,0.153,4.674,7,0.424,71.615,1.468,yes
MAC002481,6/25/2012,0.203,0.234,0.559,48,0.114,11.246,0.092,no
MAC005172,11/20/2012,0.103,0.206,1.273,48,0.226,9.873,0.033,no
MAC001835,1/6/2014,1.316,1.243,4.351,23,0.561,103.007,0.695,yes
MAC003908,6/1/2013,0.05,0.065,0.295,48,0.047,3.138,0.03,no
MAC003607,5/12/2013,0.18,0.293,1.457,48,0.255,14.06,0.121,no
MAC003358,4/13/2013,0.114,0.135,0.826,48,0.118,6.46,0.046,no
MAC002528,9/21/2012,0.037,0.036,0.063,48,0.011,1.725,0.022,no
MAC001835,8/20/2013,0.258,0.314,0.919,48,0.218,15.071,0.062,no
MAC000897,9/4/2012,0.065,0.078,0.215,48,0.031,3.741,0.047,no
MAC002481,2/11/2013,0.813,2.189,0.773,41,1.322,96.936,1.543,yes
MAC002327,6/15/2013,0.72,1.821,1.576,9,0.403,33.766,2.23,yes
MAC002474,4/17/2013,0.041,0.094,1.12,48,0.198,4.528,0.012,no
MAC002859,12/30/2012,0.122,0.258,1.8,48,0.342,12.402,0.053,no
MAC004543,6/30/2012,0.322,0.414,1.221,48,0.24,19.88,0.164,no
MAC001410,7/17/2012,0.702,0.109,3.14,9,0.496,42.151,0.762,yes
MAC004417,4/18/2013,0.046,0.098,0.562,48,0.111,4.689,0.018,no
MAC002528,2/7/2014,0.223,0.632,3.09,16,0.332,62.019,2.081,yes
MAC004287,2/8/2014,0.069,0.07,0.094,48,0.012,3.337,0.046,no
MAC004408,8/30/2013,0.113,0.126,0.421,48,0.078,6.054,0.04,no
MAC001410,12/24/2013,0.177,0.386,1.373,48,0.407,18.55,0.048,no
MAC004287,1/10/2014,0.297,0.305,0.923,48,0.245,14.645,0.065,no
MAC004832,1/20/2014,0.212,0.243,1.081,48,0.217,11.653,0.024,no
MAC002214,9/21/2013,1.332,2.368,2.082,43,1.194,89.851,2.004,yes
MAC004287,11/30/2013,0.112,0.218,1.16,48,0.208,10.449,0.085,no
MAC002575,9/23/2013,2.395,1.345,2.432,40,0.908,104.306,1.029,yes
MAC003822,9/26/2013,0.089,0.098,0.176,48,0.045,4.682,0.037,no
MAC002599,12/27/2012,0.222,0.265,0.726,48,0.151,12.732,0.09,no
MAC002481,12/30/2013,0.591,2.233,0.767,6,0.656,95.847,0.211,yes
MAC002859,11/11/2012,1.541,1.036,4.254,45,1.286,92.549,1.007,yes
MAC003355,12/15/2012,0.49,0.618,1.797,48,0.493,29.681,0.122,no
MAC002481,10/22/2012,2.887,0.512,4.614,7,0.462,103.663,0.539,yes
MAC003173,1/7/2014,0.157,0.185,0.587,48,0.107,8.863,0.048,no
MAC000897,9/21/2013,2.772,1.315,1.277,26,1.44,76.459,1.259,yes
MAC003903,11/30/2012,0.513,0.832,2.296,48,0.531,39.932,0.345,no
MAC001966,8/19/2013,2.736,1.879,0.707,36,1.15,85.507,1.462,yes
MAC002582,11/1/2012,1.324,1.667,1.358,21,0.677,87.423,1.872,yes
MAC005172,12/21/2013,0.055,0.078,0.188,48,0.054,3.738,0.03,no
MAC000606,1/11/2013,0.183,0.201,0.429,48,0.091,9.644,0.052,no
MAC002528,3/13/2013,1.162,1.052,2.163,3,1.025,96.131,1.408,yes
MAC001835,1/3/2013,1.74,2.263,3.319,6,0.941,117.265,0.59,yes
MAC004417,12/9/2012,0.112,0.145,0.645,48,0.114,6.941,0.021,no
